hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,country,market_segment,customer_type,adr,required_car_parking_spaces,total_of_special_requests,previous_cancellations,deposit_type,agent,company,total_nights,total_guests
Resort Hotel,0,26,2024,May,12,2,0,2,0.0,PRT,Groups,Transient,123.0,0,1,0,No Deposit,11.0,107.0,2,2.0
Resort Hotel,1,131,2023,March,27,0,4,1,0.0,PRT,Online TA,Transient,137.64,0,0,0,No Deposit,8.0,0.0,4,1.0
City Hotel,0,83,2023,May,13,1,2,2,0.0,FRA,Online TA,Transient-Party,109.24,0,0,0,No Deposit,11.0,115.0,3,2.0
City Hotel,0,19,2023,September,22,1,2,2,0.0,DEU,Online TA,Transient-Party,76.89,0,0,0,No Deposit,7.0,115.0,3,2.0
Resort Hotel,1,27,2024,December,12,1,0,2,0.0,IRL,Online TA,Transient,169.17,0,1,0,No Deposit,8.0,105.0,1,2.0
Resort Hotel,1,57,2023,April,16,0,3,2,1.0,USA,Online TA,Transient-Party,121.77,1,1,0,No Deposit,23.0,0.0,3,3.0
Resort Hotel,0,32,2024,June,6,0,4,2,0.0,ITA,Offline TA/TO,Transient,78.4,0,1,0,No Deposit,28.0,110.0,4,2.0
City Hotel,0,41,2023,March,14,3,7,1,0.0,GBR,Offline TA/TO,Transient-Party,67.01,1,0,1,Refundable,13.0,106.0,10,1.0
Resort Hotel,0,71,2023,March,19,1,3,2,0.0,PRT,Online TA,Transient,142.34,1,0,1,No Deposit,20.0,102.0,4,2.0
Resort Hotel,0,37,2023,May,16,1,2,2,0.0,PRT,Corporate,Transient-Party,212.81,0,2,0,No Deposit,6.0,112.0,3,2.0
City Hotel,0,12,2024,August,27,3,1,1,0.0,ESP,Groups,Contract,140.58,0,2,0,No Deposit,25.0,0.0,4,1.0
Resort Hotel,0,44,2024,August,26,0,1,2,0.0,PRT,Online TA,Transient-Party,39.74,0,1,0,No Deposit,3.0,0.0,1,2.0
City Hotel,0,26,2023,March,4,2,4,1,0.0,ESP,Corporate,Transient,105.41,0,1,0,No Deposit,6.0,104.0,6,1.0
Resort Hotel,0,20,2023,August,5,2,3,1,0.0,GBR,Online TA,Transient-Party,102.93,0,0,0,No Deposit,14.0,101.0,5,1.0
Resort Hotel,1,23,2023,November,9,2,3,2,0.0,DEU,Online TA,Transient,94.84,0,1,1,No Deposit,4.0,106.0,5,2.0
Resort Hotel,0,34,2024,August,24,0,3,2,0.0,FRA,Offline TA/TO,Group,219.76700000000014,0,3,0,No Deposit,29.0,111.0,3,2.0
City Hotel,0,130,2023,March,3,0,1,2,0.0,BRA,Online TA,Transient,77.88,0,0,0,No Deposit,16.0,113.0,1,2.0
City Hotel,1,79,2024,October,22,0,1,2,0.0,USA,Online TA,Transient-Party,106.43,0,0,1,No Deposit,10.0,107.0,1,2.0
City Hotel,0,66,2024,October,10,2,1,1,2.0,GBR,Online TA,Transient,94.3,0,0,0,No Deposit,5.0,0.0,3,3.0
City Hotel,0,38,2023,February,17,0,1,2,0.0,USA,Groups,Transient,90.67,1,0,0,No Deposit,6.0,100.0,1,2.0
City Hotel,0,0,2024,October,19,1,0,3,0.0,BRA,Online TA,Transient,55.44,0,1,0,Non Refund,24.0,110.0,1,3.0
Resort Hotel,0,24,2024,February,10,3,2,2,0.0,ESP,Corporate,Transient,113.33,0,0,0,No Deposit,29.0,105.0,5,2.0
Resort Hotel,0,100,2024,September,12,0,8,1,0.0,ESP,Direct,Transient,180.3,0,1,0,Non Refund,21.0,0.0,8,1.0
City Hotel,0,29,2023,July,23,1,2,3,0.0,BRA,Online TA,Transient,87.9,0,1,0,No Deposit,12.0,104.0,3,3.0
Resort Hotel,0,49,2023,June,7,1,1,2,0.0,IRL,Online TA,Transient,189.47,0,1,0,No Deposit,9.0,118.0,2,2.0
Resort Hotel,0,13,2023,July,18,2,1,2,0.0,BRA,Online TA,Transient-Party,125.07,0,0,0,No Deposit,16.0,115.0,3,2.0
Resort Hotel,0,148,2023,August,19,2,1,1,0.0,USA,Online TA,Transient,209.37,0,1,0,No Deposit,10.0,115.0,3,1.0
Resort Hotel,1,153,2023,December,15,1,3,2,0.0,FRA,Online TA,Contract,120.88,0,1,0,No Deposit,16.0,101.0,4,2.0
Resort Hotel,1,9,2023,January,7,3,1,2,0.0,GBR,Online TA,Transient-Party,77.72,0,1,0,No Deposit,1.0,110.0,4,2.0
City Hotel,0,77,2024,August,12,0,2,2,0.0,IND,Online TA,Contract,157.03,0,0,0,No Deposit,29.0,110.0,2,2.0
City Hotel,1,4,2023,March,22,3,4,2,1.0,IND,Online TA,Transient,105.25,0,0,0,Non Refund,19.0,111.0,7,3.0
City Hotel,0,54,2023,March,7,1,0,4,0.0,FRA,Offline TA/TO,Transient,59.83,0,0,1,Non Refund,16.0,104.0,1,4.0
City Hotel,0,11,2023,June,10,2,3,1,2.0,PRT,Online TA,Transient-Party,143.94,0,1,0,Non Refund,16.0,107.0,5,3.0
Resort Hotel,0,9,2024,April,25,0,2,2,0.0,GBR,Groups,Transient-Party,84.81,0,1,0,No Deposit,25.0,0.0,2,2.0
Resort Hotel,0,0,2024,April,24,1,2,2,0.0,BRA,Online TA,Transient-Party,111.16,0,0,0,No Deposit,18.0,105.0,3,2.0
City Hotel,1,169,2024,April,22,2,2,3,0.0,ITA,Direct,Contract,105.24,0,0,0,Non Refund,21.0,0.0,4,3.0
City Hotel,1,106,2023,October,28,0,2,4,2.0,PRT,Groups,Transient-Party,76.81,0,0,0,Non Refund,26.0,109.0,2,6.0
Resort Hotel,0,4,2024,September,20,2,5,1,0.0,BRA,Online TA,Transient,167.1,0,0,0,No Deposit,28.0,0.0,7,1.0
City Hotel,0,54,2023,August,10,0,1,4,0.0,PRT,Offline TA/TO,Contract,154.97,0,1,1,No Deposit,18.0,118.0,1,4.0
City Hotel,0,15,2023,March,25,0,3,4,2.0,PRT,Offline TA/TO,Transient-Party,94.74,0,0,0,No Deposit,19.0,0.0,3,6.0
City Hotel,1,18,2023,January,23,1,4,3,0.0,USA,Groups,Transient,36.39,0,0,0,No Deposit,23.0,115.0,5,3.0
City Hotel,1,124,2023,January,5,2,0,3,2.0,IND,Direct,Transient,111.42,0,1,0,Non Refund,16.0,111.0,2,5.0
Resort Hotel,1,7,2023,January,18,2,5,3,0.0,PRT,Online TA,Transient-Party,108.63,0,0,0,Non Refund,0.0,0.0,7,3.0
City Hotel,1,55,2024,April,9,0,1,2,0.0,PRT,Direct,Transient-Party,87.79,0,0,0,Non Refund,18.0,107.0,1,2.0
City Hotel,0,30,2024,June,16,1,6,3,0.0,DEU,Direct,Group,118.29,1,4,0,No Deposit,0.0,118.0,7,3.0
Resort Hotel,0,12,2023,April,7,1,0,2,0.0,USA,Online TA,Transient,156.9,0,2,1,Non Refund,26.0,110.0,1,2.0
City Hotel,0,36,2024,November,25,2,2,2,0.0,IRL,Corporate,Transient-Party,92.3,0,2,0,No Deposit,12.0,103.0,4,2.0
City Hotel,0,169,2023,November,27,1,0,1,0.0,PRT,Direct,Contract,90.33,0,0,0,Refundable,22.0,0.0,1,1.0
City Hotel,0,91,2023,March,25,3,4,2,0.0,PRT,Online TA,Transient-Party,56.74,0,0,0,Refundable,24.0,100.0,7,2.0
City Hotel,1,8,2024,August,10,0,2,2,0.0,GBR,Complementary,Transient,78.0,0,0,1,Non Refund,16.0,118.0,2,2.0
City Hotel,0,113,2024,August,5,1,1,2,0.0,PRT,Online TA,Transient,127.29,1,1,0,No Deposit,23.0,0.0,2,2.0
Resort Hotel,1,166,2023,June,7,1,1,2,2.0,PRT,Direct,Transient-Party,165.45,0,0,1,Non Refund,8.0,116.0,2,4.0
Resort Hotel,0,19,2023,September,5,1,2,2,1.0,IRL,Online TA,Transient,176.6,0,1,0,No Deposit,10.0,0.0,3,3.0
City Hotel,0,24,2024,December,15,0,2,1,0.0,IND,Groups,Contract,165.97,0,2,0,No Deposit,21.0,101.0,2,1.0
City Hotel,0,8,2024,October,19,1,5,2,0.0,ESP,Direct,Transient,147.89,0,0,0,No Deposit,16.0,106.0,6,2.0
Resort Hotel,1,25,2024,January,10,1,3,2,0.0,PRT,Offline TA/TO,Transient-Party,100.07,0,0,0,Non Refund,13.0,107.0,4,2.0
Resort Hotel,0,67,2023,August,8,0,5,3,0.0,ITA,Groups,Transient,187.4,0,1,0,No Deposit,3.0,0.0,5,3.0
City Hotel,0,19,2023,June,24,0,3,3,1.0,GBR,Online TA,Transient,121.08,0,1,1,Non Refund,0.0,0.0,3,4.0
City Hotel,0,0,2023,January,9,0,3,1,2.0,DEU,Online TA,Transient-Party,73.42,0,0,0,Non Refund,8.0,117.0,3,3.0
City Hotel,0,24,2023,April,11,0,3,3,0.0,DEU,Offline TA/TO,Transient,128.87,0,0,0,No Deposit,21.0,115.0,3,3.0
Resort Hotel,0,36,2024,May,28,1,2,2,0.0,IND,Offline TA/TO,Transient-Party,160.2,0,1,0,No Deposit,26.0,109.0,3,2.0
Resort Hotel,0,50,2023,July,22,0,6,1,0.0,IRL,Offline TA/TO,Transient,156.47,0,1,0,No Deposit,17.0,118.0,6,1.0
Resort Hotel,0,69,2023,August,2,4,2,1,0.0,IND,Direct,Transient-Party,130.73,0,0,0,No Deposit,19.0,0.0,6,1.0
City Hotel,0,3,2024,September,3,0,4,2,1.0,DEU,Direct,Transient,77.59,0,2,1,No Deposit,18.0,114.0,4,3.0
Resort Hotel,0,38,2024,December,13,1,2,2,0.0,GBR,Online TA,Transient,124.36,0,1,0,No Deposit,21.0,0.0,3,2.0
City Hotel,0,18,2023,December,11,1,2,2,0.0,IND,Complementary,Transient,129.97,0,0,0,No Deposit,14.0,108.0,3,2.0
Resort Hotel,1,177,2024,June,28,1,1,2,0.0,GBR,Direct,Transient-Party,121.88,0,0,1,No Deposit,12.0,102.0,2,2.0
City Hotel,0,26,2024,October,10,0,3,1,0.0,FRA,Groups,Transient,99.84,0,0,0,No Deposit,0.0,102.0,3,1.0
City Hotel,0,6,2024,September,27,2,0,2,0.0,IRL,Groups,Transient,100.67,0,0,1,No Deposit,13.0,101.0,2,2.0
City Hotel,0,2,2023,April,15,1,2,3,1.0,IND,Online TA,Transient-Party,94.49,0,1,0,No Deposit,15.0,118.0,3,4.0
Resort Hotel,1,18,2024,August,6,2,6,2,0.0,ESP,Direct,Transient,184.7,0,1,2,No Deposit,6.0,114.0,8,2.0
Resort Hotel,0,11,2024,March,1,2,3,2,1.0,PRT,Online TA,Transient-Party,113.88,0,2,0,No Deposit,27.0,108.0,5,3.0
Resort Hotel,0,62,2023,April,14,0,2,2,0.0,DEU,Corporate,Transient-Party,90.31,0,0,0,No Deposit,25.0,0.0,2,2.0
City Hotel,1,112,2023,October,18,0,2,1,0.0,ESP,Corporate,Transient,83.24,0,0,0,No Deposit,24.0,0.0,2,1.0
City Hotel,0,22,2024,April,24,1,1,2,2.0,ESP,Online TA,Transient,117.85,0,0,0,No Deposit,28.0,112.0,2,4.0
City Hotel,0,51,2023,June,11,1,3,2,1.0,ESP,Groups,Transient-Party,123.3,0,1,0,Non Refund,1.0,0.0,4,3.0
City Hotel,0,78,2024,September,8,1,2,1,0.0,GBR,Direct,Transient,111.87,0,0,0,No Deposit,1.0,0.0,3,1.0
City Hotel,0,30,2023,June,22,1,2,3,0.0,PRT,Groups,Transient,109.6,0,1,0,Refundable,0.0,0.0,3,3.0
Resort Hotel,0,4,2023,January,3,1,1,2,0.0,GBR,Online TA,Transient-Party,83.29,0,0,0,Refundable,7.0,112.0,2,2.0
City Hotel,0,15,2023,May,14,1,5,2,0.0,DEU,Complementary,Transient,67.0,0,1,0,No Deposit,29.0,0.0,6,2.0
City Hotel,0,128,2024,September,2,1,0,2,0.0,PRT,Direct,Transient,118.41,1,1,0,No Deposit,26.0,107.0,1,2.0
City Hotel,1,5,2024,June,6,4,0,1,0.0,GBR,Corporate,Transient-Party,122.12,0,1,0,No Deposit,2.0,0.0,4,1.0
Resort Hotel,1,15,2024,March,1,1,1,2,0.0,GBR,Direct,Transient-Party,145.82,0,0,0,Non Refund,7.0,0.0,2,2.0
Resort Hotel,1,87,2024,August,14,0,5,2,0.0,ESP,Direct,Transient-Party,124.39,0,0,0,Refundable,3.0,104.0,5,2.0
City Hotel,1,39,2024,October,10,1,3,2,0.0,GBR,Online TA,Group,21.42,0,0,0,No Deposit,26.0,117.0,4,2.0
Resort Hotel,0,85,2024,November,6,2,2,2,0.0,ITA,Corporate,Transient,121.06,0,0,0,No Deposit,17.0,111.0,4,2.0
City Hotel,1,14,2023,April,9,0,3,2,0.0,IND,Direct,Transient,133.45,0,1,0,Non Refund,0.0,104.0,3,2.0
Resort Hotel,0,183,2024,April,7,1,2,2,0.0,ITA,Corporate,Transient,120.04,0,0,0,No Deposit,18.0,118.0,3,2.0
City Hotel,0,91,2024,November,25,0,4,1,0.0,IND,Online TA,Transient,83.05,0,0,0,No Deposit,4.0,0.0,4,1.0
Resort Hotel,0,13,2023,December,2,2,1,2,0.0,ESP,Online TA,Transient,134.66,0,2,0,No Deposit,4.0,105.0,3,2.0
City Hotel,0,64,2024,August,9,0,1,3,0.0,GBR,Online TA,Transient-Party,139.45,1,1,0,No Deposit,5.0,0.0,1,3.0
City Hotel,1,24,2023,July,7,0,3,1,0.0,FRA,Direct,Transient,121.95,0,1,1,No Deposit,0.0,106.0,3,1.0
City Hotel,0,64,2023,May,25,1,3,3,0.0,GBR,Online TA,Group,89.08,0,1,0,No Deposit,28.0,105.0,4,3.0
City Hotel,1,16,2024,September,14,0,5,1,0.0,ESP,Groups,Transient-Party,135.51,1,2,0,No Deposit,1.0,104.0,5,1.0
City Hotel,0,76,2023,September,27,2,2,2,0.0,ITA,Offline TA/TO,Transient-Party,103.96,0,1,0,No Deposit,25.0,0.0,4,2.0
Resort Hotel,0,26,2023,October,16,2,1,1,0.0,PRT,Groups,Contract,162.4,0,1,0,No Deposit,17.0,110.0,3,1.0
Resort Hotel,0,93,2024,October,22,1,1,3,0.0,GBR,Online TA,Contract,143.56,0,2,0,No Deposit,21.0,114.0,2,3.0
Resort Hotel,0,8,2023,February,16,3,2,4,0.0,PRT,Online TA,Transient,141.31,0,0,0,Refundable,2.0,116.0,5,4.0
City Hotel,0,26,2024,April,7,2,1,2,0.0,GBR,Online TA,Transient,94.85,0,0,0,No Deposit,15.0,103.0,3,2.0
Resort Hotel,1,37,2024,August,10,1,1,3,1.0,FRA,Corporate,Transient-Party,190.47,0,1,0,Non Refund,16.0,0.0,2,4.0
City Hotel,1,33,2024,January,21,2,3,1,1.0,ESP,Online TA,Transient,89.42,0,1,0,Non Refund,5.0,100.0,5,2.0
City Hotel,1,34,2023,May,6,0,1,3,0.0,GBR,Online TA,Transient,97.62,0,0,2,Non Refund,0.0,0.0,1,3.0
Resort Hotel,0,35,2023,August,17,2,1,2,0.0,USA,Groups,Transient,124.82,0,0,0,Non Refund,1.0,109.0,3,2.0
City Hotel,0,269,2024,February,1,2,1,2,1.0,PRT,Online TA,Transient,132.19,0,2,0,No Deposit,4.0,114.0,3,3.0
Resort Hotel,0,12,2024,February,2,2,4,2,0.0,FRA,Corporate,Transient,92.07,1,1,0,No Deposit,19.0,100.0,6,2.0
Resort Hotel,1,87,2024,August,27,2,4,2,1.0,PRT,Direct,Transient,197.72,0,0,0,Non Refund,1.0,0.0,6,3.0
City Hotel,1,48,2024,October,14,0,3,1,0.0,GBR,Online TA,Transient,121.28,0,0,0,No Deposit,0.0,114.0,3,1.0
City Hotel,0,32,2023,December,4,1,1,2,0.0,FRA,Direct,Transient,98.75,0,0,0,No Deposit,1.0,109.0,2,2.0
City Hotel,1,60,2023,September,27,4,2,2,0.0,GBR,Offline TA/TO,Transient,73.15,0,2,0,No Deposit,21.0,113.0,6,2.0
City Hotel,1,115,2023,July,9,0,1,2,0.0,DEU,Online TA,Transient-Party,143.6,0,1,0,Non Refund,12.0,116.0,1,2.0
Resort Hotel,1,37,2023,August,23,0,2,2,0.0,PRT,Online TA,Transient,150.03,0,0,0,Non Refund,4.0,0.0,2,2.0
City Hotel,1,120,2023,May,6,0,2,2,0.0,FRA,Corporate,Group,84.65,0,0,0,Non Refund,28.0,100.0,2,2.0
City Hotel,1,5,2024,January,17,1,3,2,1.0,USA,Online TA,Transient,73.7,0,0,0,No Deposit,18.0,118.0,4,3.0
City Hotel,0,63,2023,April,21,1,0,1,0.0,USA,Offline TA/TO,Contract,108.8,0,0,0,No Deposit,22.0,100.0,1,1.0
Resort Hotel,1,24,2023,February,11,0,2,2,0.0,USA,Direct,Transient,66.58,0,0,0,Non Refund,26.0,116.0,2,2.0
City Hotel,0,50,2024,December,4,0,2,2,0.0,FRA,Groups,Transient,84.33,0,1,0,No Deposit,9.0,105.0,2,2.0
Resort Hotel,0,39,2024,March,21,1,1,1,0.0,GBR,Online TA,Transient-Party,160.13,1,1,0,Non Refund,11.0,110.0,2,1.0
City Hotel,1,28,2024,September,27,1,5,2,0.0,USA,Online TA,Transient,106.1,0,0,0,No Deposit,27.0,0.0,6,2.0
Resort Hotel,1,22,2024,October,9,2,3,2,2.0,GBR,Direct,Transient-Party,153.87,0,1,0,Non Refund,26.0,118.0,5,4.0
City Hotel,0,57,2023,April,28,0,1,2,1.0,GBR,Online TA,Transient,124.72,0,1,0,Non Refund,1.0,103.0,1,3.0
Resort Hotel,0,23,2023,March,3,2,3,2,0.0,USA,Groups,Transient-Party,138.8,0,0,0,No Deposit,25.0,0.0,5,2.0
City Hotel,0,13,2023,March,4,0,1,3,0.0,USA,Online TA,Group,108.95,0,0,0,Non Refund,4.0,101.0,1,3.0
City Hotel,0,96,2024,August,3,2,1,1,0.0,USA,Online TA,Transient,131.95,0,0,0,No Deposit,16.0,100.0,3,1.0
City Hotel,0,14,2023,November,13,2,2,2,0.0,USA,Corporate,Transient,90.55,1,1,0,Refundable,8.0,109.0,4,2.0
City Hotel,1,18,2023,June,19,1,1,2,0.0,FRA,Online TA,Transient-Party,85.22,0,1,0,No Deposit,21.0,106.0,2,2.0
City Hotel,0,16,2024,April,25,3,5,2,2.0,PRT,Online TA,Transient,78.82,0,0,0,No Deposit,10.0,113.0,8,4.0
City Hotel,0,129,2023,June,21,0,2,3,1.0,ESP,Direct,Contract,133.24,0,0,0,No Deposit,7.0,101.0,2,4.0
Resort Hotel,0,89,2023,November,26,1,2,2,0.0,IND,Offline TA/TO,Transient,119.61,0,0,0,Non Refund,15.0,0.0,3,2.0
City Hotel,0,4,2023,January,1,1,0,2,0.0,PRT,Online TA,Transient,65.46,0,1,0,Non Refund,20.0,0.0,1,2.0
Resort Hotel,1,107,2023,October,23,0,4,2,0.0,PRT,Groups,Transient-Party,120.23,1,0,0,No Deposit,14.0,111.0,4,2.0
City Hotel,0,2,2024,August,23,0,3,2,0.0,ITA,Online TA,Transient,92.0,0,0,0,Non Refund,0.0,111.0,3,2.0
City Hotel,0,17,2023,January,6,1,4,2,0.0,IND,Offline TA/TO,Transient-Party,54.22,0,1,1,No Deposit,0.0,0.0,5,2.0
Resort Hotel,1,150,2023,May,22,1,1,2,0.0,DEU,Online TA,Transient,138.7,0,0,2,Non Refund,12.0,106.0,2,2.0
City Hotel,0,119,2024,February,3,0,4,3,0.0,PRT,Complementary,Transient,70.88,0,2,0,No Deposit,7.0,103.0,4,3.0
City Hotel,0,91,2024,June,3,1,4,2,0.0,PRT,Online TA,Group,122.42,0,2,1,Non Refund,0.0,107.0,5,2.0
Resort Hotel,0,36,2023,September,16,1,3,1,0.0,IND,Online TA,Transient,122.38,0,1,0,No Deposit,14.0,0.0,4,1.0
City Hotel,1,23,2023,May,10,0,3,2,0.0,IRL,Online TA,Transient-Party,86.46,0,0,0,No Deposit,11.0,0.0,3,2.0
City Hotel,0,127,2023,April,27,2,3,2,0.0,ITA,Groups,Transient,131.13,0,1,0,Non Refund,0.0,102.0,5,2.0
City Hotel,0,21,2024,December,17,2,3,2,0.0,IND,Online TA,Transient,102.42,0,0,0,No Deposit,29.0,0.0,5,2.0
Resort Hotel,0,37,2024,March,7,0,6,1,2.0,GBR,Offline TA/TO,Transient,158.51,0,1,0,No Deposit,1.0,104.0,6,3.0
City Hotel,1,127,2024,June,13,1,3,1,0.0,USA,Online TA,Transient,85.69,0,1,0,No Deposit,2.0,113.0,4,1.0
City Hotel,0,140,2024,August,28,0,3,2,0.0,ITA,Corporate,Transient,100.23,0,1,1,No Deposit,16.0,103.0,3,2.0
City Hotel,0,64,2024,August,11,1,1,1,0.0,USA,Corporate,Group,102.53,0,1,0,No Deposit,22.0,0.0,2,1.0
City Hotel,1,79,2024,May,10,0,2,2,0.0,GBR,Online TA,Transient,89.92,0,0,0,No Deposit,16.0,109.0,2,2.0
City Hotel,1,2,2023,May,7,1,2,2,2.0,PRT,Offline TA/TO,Transient-Party,81.66,0,0,1,No Deposit,16.0,0.0,3,4.0
City Hotel,0,55,2024,October,24,0,2,1,2.0,GBR,Online TA,Transient,89.21,0,1,0,No Deposit,11.0,0.0,2,3.0
Resort Hotel,0,70,2023,March,6,2,3,2,0.0,IRL,Offline TA/TO,Transient,92.75,0,1,0,No Deposit,15.0,0.0,5,2.0
City Hotel,0,1,2023,July,24,2,2,1,0.0,IND,Direct,Transient,112.22,0,1,1,No Deposit,27.0,102.0,4,1.0
Resort Hotel,1,111,2024,June,1,1,4,2,0.0,ITA,Offline TA/TO,Transient,141.02,0,0,0,No Deposit,25.0,0.0,5,2.0
City Hotel,1,158,2023,January,17,0,2,2,0.0,DEU,Online TA,Transient,102.5,0,0,0,No Deposit,8.0,104.0,2,2.0
Resort Hotel,1,112,2024,June,12,3,1,3,0.0,GBR,Complementary,Transient-Party,187.7,0,0,0,Non Refund,23.0,106.0,4,3.0
Resort Hotel,1,65,2023,November,4,2,1,2,0.0,USA,Groups,Transient,103.62,0,0,0,No Deposit,5.0,107.0,3,2.0
City Hotel,0,52,2024,June,3,0,2,2,0.0,ESP,Online TA,Transient,109.37,0,0,0,No Deposit,28.0,112.0,2,2.0
Resort Hotel,0,111,2023,November,6,1,3,2,2.0,USA,Online TA,Transient,145.87,1,1,0,No Deposit,2.0,0.0,4,4.0
City Hotel,0,20,2023,December,26,0,4,2,0.0,ESP,Groups,Transient-Party,145.25,0,0,0,No Deposit,1.0,112.0,4,2.0
Resort Hotel,1,93,2024,December,28,1,1,2,0.0,USA,Offline TA/TO,Transient,188.53,0,2,0,Non Refund,26.0,112.0,2,2.0
Resort Hotel,0,22,2024,March,16,1,2,3,0.0,ESP,Offline TA/TO,Group,181.7,0,1,0,No Deposit,21.0,0.0,3,3.0
City Hotel,0,92,2024,June,13,1,1,2,0.0,ESP,Corporate,Transient,88.46,0,0,0,Non Refund,7.0,112.0,2,2.0
City Hotel,0,35,2023,December,28,0,2,2,1.0,PRT,Online TA,Transient,69.98,0,0,0,No Deposit,24.0,104.0,2,3.0
Resort Hotel,1,7,2024,October,9,3,0,2,0.0,ESP,Offline TA/TO,Transient,128.74,0,0,0,No Deposit,29.0,119.0,3,2.0
City Hotel,0,28,2023,June,26,2,6,1,0.0,ESP,Groups,Transient,117.56,0,0,0,No Deposit,6.0,105.0,8,1.0
City Hotel,0,15,2024,December,11,1,1,2,0.0,PRT,Online TA,Transient-Party,92.8,0,0,1,Refundable,11.0,0.0,2,2.0
City Hotel,0,6,2023,September,20,1,1,2,0.0,GBR,Direct,Transient,117.5,0,0,0,No Deposit,27.0,112.0,2,2.0
Resort Hotel,0,7,2024,September,25,2,2,2,0.0,ESP,Offline TA/TO,Transient,130.8,1,1,0,No Deposit,25.0,106.0,4,2.0
Resort Hotel,0,90,2023,February,21,3,2,2,2.0,USA,Groups,Transient,113.96,1,0,0,No Deposit,20.0,102.0,5,4.0
City Hotel,0,127,2023,April,13,0,1,1,0.0,ITA,Online TA,Transient,116.84,1,1,0,No Deposit,13.0,0.0,1,1.0
Resort Hotel,0,157,2024,September,23,0,1,3,1.0,PRT,Complementary,Group,164.68,0,0,0,No Deposit,14.0,101.0,1,4.0
City Hotel,0,115,2024,April,19,0,3,2,1.0,PRT,Online TA,Contract,116.67,1,1,0,No Deposit,14.0,102.0,3,3.0
City Hotel,0,106,2024,August,3,3,2,2,0.0,IRL,Offline TA/TO,Transient,48.86,0,0,1,Non Refund,0.0,0.0,5,2.0
City Hotel,1,4,2024,October,12,2,2,2,0.0,FRA,Online TA,Transient,112.74,0,0,0,Refundable,17.0,113.0,4,2.0
City Hotel,1,93,2024,December,19,1,4,1,0.0,ESP,Complementary,Contract,89.99,1,1,0,No Deposit,17.0,101.0,5,1.0
City Hotel,1,91,2024,March,8,0,5,2,0.0,DEU,Online TA,Transient-Party,93.74,1,0,0,No Deposit,12.0,117.0,5,2.0
City Hotel,0,8,2023,March,14,0,1,2,0.0,GBR,Complementary,Contract,103.26,0,1,1,No Deposit,21.0,0.0,1,2.0
City Hotel,0,65,2024,September,22,0,1,2,1.0,FRA,Offline TA/TO,Transient,137.22,0,1,0,No Deposit,18.0,0.0,1,3.0
City Hotel,0,36,2023,November,9,0,2,2,0.0,USA,Corporate,Transient,77.75,0,3,0,No Deposit,22.0,108.0,2,2.0
City Hotel,0,138,2024,October,25,1,5,3,0.0,GBR,Online TA,Transient-Party,96.98,0,0,0,No Deposit,0.0,102.0,6,3.0
City Hotel,0,71,2024,August,24,2,3,1,0.0,PRT,Online TA,Transient,124.69,0,1,0,No Deposit,26.0,103.0,5,1.0
City Hotel,1,180,2024,January,17,0,2,3,2.0,PRT,Offline TA/TO,Transient-Party,85.03,0,1,0,No Deposit,3.0,104.0,2,5.0
City Hotel,0,6,2024,October,6,1,1,2,0.0,PRT,Offline TA/TO,Transient,91.14,0,1,0,No Deposit,0.0,0.0,2,2.0
City Hotel,0,2,2024,February,4,0,5,2,0.0,GBR,Online TA,Transient-Party,100.42,0,0,0,No Deposit,8.0,0.0,5,2.0
City Hotel,1,218,2024,March,4,1,3,1,2.0,PRT,Direct,Transient,128.59,0,1,0,Non Refund,21.0,0.0,4,3.0
City Hotel,0,5,2023,November,19,0,1,2,0.0,GBR,Online TA,Transient,53.58,0,1,0,No Deposit,20.0,100.0,1,2.0
City Hotel,0,29,2024,February,12,0,3,2,2.0,FRA,Direct,Transient-Party,108.13,0,1,0,Non Refund,2.0,104.0,3,4.0
Resort Hotel,0,62,2023,March,25,2,1,1,0.0,PRT,Online TA,Transient-Party,147.98,1,0,0,No Deposit,0.0,0.0,3,1.0
Resort Hotel,0,127,2024,August,2,1,1,2,1.0,USA,Online TA,Transient-Party,184.41,0,0,0,No Deposit,14.0,113.0,2,3.0
City Hotel,1,17,2023,November,17,2,1,1,0.0,PRT,Groups,Group,151.72,0,0,0,Non Refund,27.0,114.0,3,1.0
Resort Hotel,0,1,2023,November,15,0,3,2,0.0,GBR,Offline TA/TO,Transient-Party,99.54,0,2,0,No Deposit,13.0,0.0,3,2.0
Resort Hotel,0,44,2023,December,10,0,1,2,0.0,ITA,Corporate,Transient-Party,126.97,0,1,0,No Deposit,13.0,115.0,1,2.0
Resort Hotel,0,38,2023,June,3,0,3,3,0.0,FRA,Online TA,Transient-Party,219.76700000000014,0,0,0,No Deposit,22.0,104.0,3,3.0
Resort Hotel,0,21,2024,July,20,1,0,1,1.0,DEU,Online TA,Transient,91.03,0,1,0,No Deposit,11.0,0.0,1,2.0
Resort Hotel,1,124,2023,October,4,2,1,2,1.0,USA,Offline TA/TO,Contract,71.97,1,0,0,Refundable,14.0,105.0,3,3.0
City Hotel,0,83,2024,October,22,1,2,1,0.0,IND,Online TA,Transient,113.91,0,0,0,No Deposit,16.0,102.0,3,1.0
City Hotel,1,117,2023,June,1,2,2,2,1.0,PRT,Online TA,Transient-Party,122.65,0,1,1,No Deposit,14.0,115.0,4,3.0
