hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,country,market_segment,customer_type,adr,required_car_parking_spaces,total_of_special_requests,previous_cancellations,deposit_type,agent,company,total_nights,total_guests,lead_time_bucket,customer_segment,predicted_cancel_risk
Resort Hotel,0,0,2024,March,27,1,1,1,0.0,BRA,Complementary,Transient,120.47,0,0,0,No Deposit,14.0,110.0,2,1.0,0-7 days,Last-Minute Booker - Leisure/Transient,0.29422931129832414
City Hotel,1,57,2024,August,11,0,4,2,0.0,GBR,Online TA,Transient,157.51,0,0,0,Non Refund,13.0,112.0,4,2.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.7298494149552925
City Hotel,1,356,2024,January,10,1,3,2,0.0,PRT,Complementary,Contract,87.01,0,0,0,No Deposit,28.0,0.0,4,2.0,180+ days,Early Planner - Corporate/Contract,0.6709238222700694
City Hotel,0,20,2023,May,23,0,2,2,1.0,PRT,Online TA,Transient-Party,54.81,0,0,0,Non Refund,6.0,119.0,2,3.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.517615459909002
City Hotel,1,59,2023,January,15,2,5,2,0.0,IRL,Direct,Transient,93.02,0,0,0,No Deposit,10.0,114.0,7,2.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.42097257512399966
Resort Hotel,0,0,2024,July,13,1,0,2,2.0,ESP,Online TA,Transient,130.28,0,1,1,No Deposit,5.0,103.0,1,4.0,0-7 days,Last-Minute Booker - Leisure/Transient,0.2459868357676569
Resort Hotel,0,55,2023,May,23,1,4,2,0.0,ESP,Online TA,Transient-Party,144.6,0,0,0,No Deposit,5.0,108.0,5,2.0,31-90 days,Last-Minute Booker - Corporate/Contract,0.4905332827790474
City Hotel,0,35,2024,February,8,1,1,1,0.0,ITA,Direct,Transient,81.67,0,0,0,No Deposit,13.0,0.0,2,1.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.40552448822504816
Resort Hotel,0,45,2024,December,5,0,4,3,0.0,USA,Online TA,Transient,138.09,0,0,0,Non Refund,0.0,101.0,4,3.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.7323370110381489
City Hotel,0,47,2023,January,2,0,2,3,0.0,GBR,Online TA,Transient-Party,129.82,0,0,0,Refundable,0.0,101.0,2,3.0,31-90 days,Last-Minute Booker - Corporate/Contract,0.3734154433711233
Resort Hotel,0,11,2024,November,16,1,2,3,0.0,PRT,Corporate,Transient-Party,99.63,0,2,1,Non Refund,22.0,117.0,3,3.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.5241266721795822
Resort Hotel,0,88,2024,July,13,1,3,1,0.0,PRT,Groups,Group,155.82,0,0,1,Non Refund,17.0,108.0,4,1.0,31-90 days,Early Planner - Leisure/Transient,0.6360303183905294
City Hotel,0,48,2024,December,19,0,4,3,1.0,DEU,Online TA,Transient,128.8,0,0,0,Non Refund,19.0,102.0,4,4.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.731159552575731
Resort Hotel,1,18,2023,January,9,0,2,2,0.0,IND,Online TA,Transient,71.57,1,1,0,No Deposit,21.0,100.0,2,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.3166425279591569
City Hotel,0,166,2023,March,15,0,5,2,0.0,ITA,Direct,Transient,88.58,0,0,0,No Deposit,17.0,101.0,5,2.0,91-180 days,Early Planner - Leisure/Transient,0.5859455671489849
City Hotel,1,0,2024,November,6,2,1,3,0.0,BRA,Corporate,Transient,85.23,1,0,0,No Deposit,18.0,0.0,3,3.0,0-7 days,Last-Minute Booker - Leisure/Transient,0.349020928735005
City Hotel,0,77,2023,June,8,2,2,1,0.0,IND,Groups,Transient,121.17,0,1,0,No Deposit,26.0,116.0,4,1.0,31-90 days,Early Planner - Leisure/Transient,0.38920247592465784
Resort Hotel,0,28,2024,June,24,0,7,1,0.0,USA,Online TA,Transient-Party,128.39,1,2,1,No Deposit,28.0,0.0,7,1.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.3246715993783914
Resort Hotel,1,44,2023,July,14,1,4,1,0.0,PRT,Offline TA/TO,Transient,114.19,0,0,0,No Deposit,17.0,0.0,5,1.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.3890309435949613
Resort Hotel,1,20,2024,November,5,2,4,2,0.0,DEU,Online TA,Group,122.47,0,1,0,No Deposit,19.0,105.0,6,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.3494181304186611
City Hotel,1,23,2023,November,17,1,1,2,2.0,USA,Online TA,Transient,104.95,0,2,0,No Deposit,6.0,0.0,2,4.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.2974468778785447
City Hotel,0,0,2024,January,22,0,1,2,0.0,GBR,Online TA,Transient-Party,67.95,0,0,0,No Deposit,13.0,100.0,1,2.0,0-7 days,Last-Minute Booker - Corporate/Contract,0.42470226605665673
Resort Hotel,0,78,2023,July,7,1,2,3,0.0,PRT,Online TA,Group,209.64,0,1,1,No Deposit,18.0,0.0,3,3.0,31-90 days,Early Planner - Leisure/Transient,0.3661693827574692
City Hotel,0,74,2023,February,9,0,1,2,0.0,DEU,Offline TA/TO,Transient,83.25,1,0,0,No Deposit,15.0,0.0,1,2.0,31-90 days,Early Planner - Leisure/Transient,0.3782498728063689
Resort Hotel,0,63,2023,June,16,2,2,2,1.0,IND,Online TA,Transient,109.58,0,0,0,No Deposit,25.0,114.0,4,3.0,31-90 days,Early Planner - Leisure/Transient,0.4287896553354484
City Hotel,1,126,2024,August,18,3,3,1,0.0,ESP,Groups,Transient-Party,133.89,1,0,1,Non Refund,7.0,117.0,6,1.0,91-180 days,Early Planner - Corporate/Contract,0.8379066061742545
City Hotel,1,138,2023,May,28,3,1,2,0.0,BRA,Direct,Transient-Party,72.43,0,2,0,No Deposit,8.0,113.0,4,2.0,91-180 days,Early Planner - Corporate/Contract,0.5130683767237737
City Hotel,1,48,2024,October,13,0,2,2,1.0,PRT,Online TA,Transient-Party,109.53,0,1,0,No Deposit,0.0,0.0,2,3.0,31-90 days,Last-Minute Booker - Corporate/Contract,0.41207739924176146
City Hotel,0,69,2024,March,18,0,3,1,1.0,PRT,Complementary,Transient,102.23,0,3,0,No Deposit,4.0,102.0,3,2.0,31-90 days,Early Planner - Leisure/Transient,0.3042787273127141
City Hotel,0,0,2023,November,10,1,0,1,0.0,PRT,Groups,Transient-Party,62.41,0,1,1,No Deposit,8.0,0.0,1,1.0,0-7 days,Last-Minute Booker - Corporate/Contract,0.29006633937574855
Resort Hotel,1,112,2024,August,1,1,2,3,0.0,GBR,Offline TA/TO,Transient-Party,117.38,0,2,2,No Deposit,24.0,105.0,3,3.0,91-180 days,Early Planner - Corporate/Contract,0.5531052468205977
City Hotel,0,101,2023,August,21,1,6,2,0.0,GBR,Online TA,Transient,61.05,0,0,0,No Deposit,17.0,102.0,7,2.0,91-180 days,Early Planner - Leisure/Transient,0.4705388562560871
Resort Hotel,0,1,2024,April,18,1,1,2,0.0,ESP,Online TA,Group,112.66,0,1,0,No Deposit,4.0,103.0,2,2.0,0-7 days,Last-Minute Booker - Leisure/Transient,0.30846751157461477
City Hotel,0,46,2024,August,19,1,2,1,0.0,ITA,Online TA,Transient-Party,115.24,1,0,0,No Deposit,21.0,112.0,3,1.0,31-90 days,Last-Minute Booker - Corporate/Contract,0.39956385774054143
City Hotel,1,142,2023,May,2,1,3,2,0.0,PRT,Offline TA/TO,Transient,97.46,0,0,0,No Deposit,8.0,106.0,4,2.0,91-180 days,Early Planner - Leisure/Transient,0.5912016376003262
City Hotel,0,12,2023,November,27,0,1,1,0.0,USA,Online TA,Contract,219.76700000000014,0,0,0,No Deposit,7.0,102.0,1,1.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.3195602992282507
City Hotel,0,26,2023,May,4,1,4,2,0.0,PRT,Offline TA/TO,Transient-Party,132.13,0,0,0,No Deposit,10.0,102.0,5,2.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.46594013260306316
City Hotel,0,24,2024,March,11,0,2,1,0.0,PRT,Online TA,Transient,78.08,0,0,0,No Deposit,13.0,116.0,2,1.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.37975568696745393
City Hotel,0,2,2024,November,9,2,3,2,0.0,ESP,Offline TA/TO,Transient-Party,74.51,0,1,0,Non Refund,17.0,114.0,5,2.0,0-7 days,Last-Minute Booker - Corporate/Contract,0.4573474735218824
Resort Hotel,1,19,2023,November,10,0,1,2,0.0,GBR,Online TA,Transient-Party,87.36,0,1,2,No Deposit,6.0,100.0,1,2.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.30787763370077753
Resort Hotel,1,20,2024,September,28,0,4,2,0.0,GBR,Offline TA/TO,Group,122.37,0,0,0,No Deposit,0.0,101.0,4,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.3507584026038547
Resort Hotel,0,120,2023,September,2,0,3,3,0.0,USA,Offline TA/TO,Transient,124.93,0,1,0,No Deposit,13.0,100.0,3,3.0,91-180 days,Early Planner - Leisure/Transient,0.3869391310853781
Resort Hotel,0,26,2024,January,7,2,3,2,0.0,USA,Corporate,Transient,165.08,0,1,0,Refundable,0.0,110.0,5,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.29741816188828296
City Hotel,0,35,2024,January,15,2,3,2,0.0,PRT,Direct,Transient,48.18,0,1,1,No Deposit,12.0,108.0,5,2.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.37359647155732256
Resort Hotel,0,28,2024,October,27,0,7,2,0.0,GBR,Offline TA/TO,Transient-Party,154.8,0,1,0,No Deposit,3.0,104.0,7,2.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.38994492139904147
City Hotel,0,7,2023,December,19,1,2,1,0.0,ESP,Groups,Transient,133.22,0,1,0,No Deposit,21.0,107.0,3,1.0,0-7 days,Last-Minute Booker - Leisure/Transient,0.27761497042395034
Resort Hotel,0,278,2023,December,10,1,3,2,0.0,ITA,Corporate,Contract,142.35,1,0,0,No Deposit,0.0,0.0,4,2.0,180+ days,Early Planner - Corporate/Contract,0.5192874563025741
Resort Hotel,0,104,2023,November,24,2,3,3,1.0,GBR,Online TA,Transient,72.34,0,0,0,No Deposit,23.0,0.0,5,4.0,91-180 days,Early Planner - Leisure/Transient,0.44835682661759857
City Hotel,1,46,2024,May,20,0,3,2,2.0,PRT,Online TA,Transient,140.91,0,0,0,No Deposit,2.0,100.0,3,4.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.3941383536211371
City Hotel,0,38,2023,January,14,3,4,2,1.0,GBR,Online TA,Group,55.45,0,1,0,No Deposit,9.0,105.0,7,3.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.3243566692666961
City Hotel,1,62,2024,April,4,1,3,2,1.0,USA,Online TA,Transient,108.02,0,0,0,No Deposit,19.0,0.0,4,3.0,31-90 days,Early Planner - Leisure/Transient,0.42233638007137614
City Hotel,1,23,2023,December,25,1,1,2,1.0,ESP,Offline TA/TO,Group,91.64,0,0,0,Non Refund,1.0,105.0,2,3.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.5858083339623099
City Hotel,0,3,2024,January,11,1,2,3,0.0,ITA,Offline TA/TO,Transient,108.62,0,1,1,No Deposit,18.0,0.0,3,3.0,0-7 days,Last-Minute Booker - Leisure/Transient,0.3003003676454366
Resort Hotel,0,31,2024,February,3,1,2,2,0.0,PRT,Complementary,Transient,84.51,0,3,1,No Deposit,26.0,118.0,3,2.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.3059533354139257
City Hotel,1,248,2024,February,23,1,4,1,0.0,DEU,Online TA,Transient-Party,94.19,0,1,0,No Deposit,0.0,0.0,5,1.0,180+ days,Early Planner - Corporate/Contract,0.6779712685409317
City Hotel,0,12,2023,April,17,1,3,2,0.0,DEU,Offline TA/TO,Contract,90.77,0,1,0,No Deposit,18.0,100.0,4,2.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.30023295291034025
City Hotel,0,45,2023,August,7,1,3,2,0.0,FRA,Offline TA/TO,Transient,105.02,1,1,0,No Deposit,22.0,105.0,4,2.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.3237623979690311
City Hotel,1,7,2023,September,11,0,2,2,0.0,ITA,Online TA,Transient-Party,136.17,0,0,1,Non Refund,4.0,107.0,2,2.0,0-7 days,Last-Minute Booker - Corporate/Contract,0.7763451646197657
Resort Hotel,1,53,2024,December,18,1,1,1,0.0,IND,Online TA,Transient,169.0,0,0,0,No Deposit,21.0,103.0,2,1.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.42652109040579095
Resort Hotel,1,141,2024,February,14,2,2,2,1.0,PRT,Offline TA/TO,Transient,95.67,0,1,0,No Deposit,25.0,0.0,4,3.0,91-180 days,Early Planner - Leisure/Transient,0.5144940933194643
City Hotel,0,31,2023,January,14,1,2,2,0.0,ITA,Online TA,Contract,56.74,0,1,0,No Deposit,23.0,0.0,3,2.0,31-90 days,Last-Minute Booker - Corporate/Contract,0.3694128345362898
City Hotel,0,13,2024,October,6,0,1,2,0.0,ESP,Corporate,Transient,73.7,0,0,0,No Deposit,12.0,0.0,1,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.35013545306511334
City Hotel,1,47,2024,October,9,0,3,2,0.0,USA,Online TA,Transient-Party,96.53,0,0,0,Non Refund,22.0,0.0,3,2.0,31-90 days,Last-Minute Booker - Corporate/Contract,0.777122224016042
City Hotel,0,95,2024,September,22,5,1,2,0.0,FRA,Online TA,Transient-Party,79.11,0,0,0,No Deposit,12.0,104.0,6,2.0,91-180 days,Early Planner - Corporate/Contract,0.4965486089108082
City Hotel,0,1,2023,February,3,2,3,3,0.0,ESP,Online TA,Transient,84.0,0,1,0,No Deposit,20.0,108.0,5,3.0,0-7 days,Last-Minute Booker - Leisure/Transient,0.26786460400370843
Resort Hotel,0,42,2023,August,17,1,1,2,0.0,GBR,Groups,Contract,197.08,0,0,1,No Deposit,22.0,0.0,2,2.0,31-90 days,Last-Minute Booker - Corporate/Contract,0.29749354222004987
City Hotel,0,6,2024,January,12,0,2,2,1.0,GBR,Corporate,Transient,55.96,0,1,0,Non Refund,17.0,0.0,2,3.0,0-7 days,Last-Minute Booker - Leisure/Transient,0.3869023528560646
Resort Hotel,1,139,2024,November,4,2,2,2,0.0,PRT,Online TA,Transient,105.51,0,1,0,No Deposit,12.0,0.0,4,2.0,91-180 days,Early Planner - Leisure/Transient,0.5199823950584541
City Hotel,0,18,2023,January,20,0,5,2,0.0,PRT,Online TA,Contract,119.87,0,0,0,Non Refund,20.0,100.0,5,2.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.6841032239060592
City Hotel,0,11,2023,October,16,0,1,2,0.0,PRT,Corporate,Transient,129.35,0,0,0,Non Refund,16.0,111.0,1,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.5715726603430383
City Hotel,1,53,2024,February,24,0,2,2,0.0,IRL,Online TA,Transient-Party,78.46,0,0,0,Non Refund,2.0,102.0,2,2.0,31-90 days,Last-Minute Booker - Corporate/Contract,0.7527793315257174
City Hotel,0,68,2023,December,26,0,1,1,0.0,ESP,Online TA,Transient,143.85,0,1,0,No Deposit,12.0,118.0,1,1.0,31-90 days,Early Planner - Leisure/Transient,0.4000185738193977
City Hotel,0,6,2024,December,10,2,3,2,0.0,GBR,Online TA,Transient,75.13,0,1,0,No Deposit,4.0,116.0,5,2.0,0-7 days,Last-Minute Booker - Leisure/Transient,0.27219191259907577
City Hotel,1,146,2024,November,7,1,2,2,0.0,GBR,Online TA,Transient,95.36,0,0,0,No Deposit,19.0,118.0,3,2.0,91-180 days,Early Planner - Leisure/Transient,0.5918049552180329
Resort Hotel,0,67,2023,February,23,2,0,2,0.0,PRT,Offline TA/TO,Transient,84.36,0,3,0,No Deposit,27.0,0.0,2,2.0,31-90 days,Early Planner - Leisure/Transient,0.31108781598246366
City Hotel,0,47,2024,April,28,0,3,2,0.0,ESP,Offline TA/TO,Transient-Party,88.95,0,1,0,No Deposit,16.0,0.0,3,2.0,31-90 days,Last-Minute Booker - Corporate/Contract,0.35203506075915003
City Hotel,0,28,2024,February,18,1,2,2,0.0,ESP,Offline TA/TO,Contract,85.28,0,0,0,No Deposit,2.0,107.0,3,2.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.37651690105979024
Resort Hotel,1,8,2023,January,9,0,3,3,2.0,FRA,Online TA,Transient,90.1,0,0,0,No Deposit,28.0,110.0,3,5.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.3737395192606189
City Hotel,1,73,2024,December,22,1,3,2,1.0,PRT,Direct,Transient-Party,141.46,0,1,0,Non Refund,22.0,107.0,4,3.0,31-90 days,Early Planner - Corporate/Contract,0.7206513749422749
City Hotel,0,100,2024,March,18,4,2,1,0.0,ESP,Online TA,Transient,111.65,0,0,0,No Deposit,0.0,0.0,6,1.0,91-180 days,Early Planner - Leisure/Transient,0.4229935780452408
City Hotel,0,8,2024,April,17,0,2,2,0.0,PRT,Corporate,Transient-Party,117.84,0,0,0,No Deposit,0.0,0.0,2,2.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.4042001566822522
Resort Hotel,0,40,2023,October,11,2,1,2,0.0,USA,Offline TA/TO,Group,156.95,0,1,0,No Deposit,28.0,106.0,3,2.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.3291778058800816
City Hotel,1,39,2024,May,1,3,3,2,0.0,FRA,Offline TA/TO,Transient,102.96,1,0,0,Non Refund,0.0,108.0,6,2.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.6744668064485783
City Hotel,0,25,2024,May,17,0,5,2,0.0,GBR,Direct,Transient-Party,85.08,0,0,0,No Deposit,25.0,113.0,5,2.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.45660976805212705
Resort Hotel,0,93,2023,July,4,1,3,2,0.0,ITA,Online TA,Transient-Party,123.26,0,0,0,No Deposit,0.0,119.0,4,2.0,91-180 days,Early Planner - Corporate/Contract,0.534151082883725
Resort Hotel,0,6,2024,October,4,0,3,2,0.0,PRT,Offline TA/TO,Transient-Party,87.33,0,1,0,Non Refund,16.0,112.0,3,2.0,0-7 days,Last-Minute Booker - Corporate/Contract,0.5615620675032793
City Hotel,1,13,2024,August,14,2,2,2,0.0,DEU,Direct,Transient,85.54,0,0,0,No Deposit,0.0,103.0,4,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.3798769397467705
City Hotel,0,28,2023,December,9,0,6,3,1.0,IRL,Offline TA/TO,Transient,135.68,0,0,0,No Deposit,4.0,108.0,6,4.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.3706465286780273
City Hotel,0,20,2024,July,13,0,1,4,0.0,FRA,Online TA,Transient,124.89,0,1,0,No Deposit,16.0,113.0,1,4.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.2852492083622442
Resort Hotel,0,121,2023,May,28,1,3,2,0.0,PRT,Online TA,Transient-Party,154.27,0,0,0,Refundable,9.0,115.0,4,2.0,91-180 days,Early Planner - Corporate/Contract,0.42464934824005846
City Hotel,1,82,2023,September,28,1,0,2,0.0,PRT,Direct,Transient,71.5,0,1,0,Non Refund,22.0,114.0,1,2.0,31-90 days,Early Planner - Leisure/Transient,0.6370634151699167
City Hotel,0,5,2024,August,16,0,2,2,0.0,ITA,Online TA,Contract,117.91,0,1,0,No Deposit,27.0,115.0,2,2.0,0-7 days,Last-Minute Booker - Corporate/Contract,0.29652255802030225
City Hotel,0,81,2023,October,1,1,2,2,0.0,PRT,Online TA,Transient,162.74,0,1,0,No Deposit,7.0,114.0,3,2.0,31-90 days,Early Planner - Leisure/Transient,0.404164720254493
City Hotel,1,67,2024,September,3,1,4,2,0.0,GBR,Groups,Transient,147.38,0,0,0,Non Refund,3.0,102.0,5,2.0,31-90 days,Early Planner - Leisure/Transient,0.7498615671272255
City Hotel,0,19,2023,October,19,0,2,2,0.0,PRT,Online TA,Transient-Party,151.23,0,1,0,Non Refund,20.0,104.0,2,2.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.6256639402053223
Resort Hotel,0,0,2023,August,8,0,3,1,0.0,ESP,Offline TA/TO,Transient,219.76700000000014,0,1,0,No Deposit,22.0,104.0,3,1.0,0-7 days,Last-Minute Booker - Leisure/Transient,0.26142627260023654
City Hotel,1,7,2023,June,18,1,1,1,1.0,PRT,Corporate,Transient-Party,112.78,0,0,0,Non Refund,19.0,112.0,2,2.0,0-7 days,Last-Minute Booker - Corporate/Contract,0.6917470850702249
City Hotel,0,17,2024,April,6,3,1,1,1.0,DEU,Online TA,Transient,106.33,0,1,0,No Deposit,23.0,0.0,4,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.30746427271139787
Resort Hotel,0,101,2024,September,27,2,3,1,0.0,IND,Groups,Transient,140.98,0,1,0,No Deposit,2.0,103.0,5,1.0,91-180 days,Early Planner - Leisure/Transient,0.36331251112795393
City Hotel,0,37,2024,December,20,1,4,1,0.0,GBR,Online TA,Transient,103.14,0,1,0,Non Refund,23.0,0.0,5,1.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.6456907063602987
Resort Hotel,0,150,2023,September,26,0,3,1,0.0,GBR,Online TA,Transient,192.43,0,1,1,No Deposit,17.0,0.0,3,1.0,91-180 days,Early Planner - Leisure/Transient,0.46501683667464316
City Hotel,0,93,2023,October,6,3,3,1,0.0,DEU,Online TA,Group,121.09,0,1,0,No Deposit,10.0,0.0,6,1.0,91-180 days,Early Planner - Leisure/Transient,0.36744208592097033
Resort Hotel,0,20,2024,October,5,2,3,4,0.0,PRT,Offline TA/TO,Transient,155.71,0,0,0,Refundable,15.0,0.0,5,4.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.28022962986422234
City Hotel,1,112,2023,September,12,1,1,1,0.0,PRT,Groups,Contract,76.45,0,0,0,No Deposit,7.0,118.0,2,1.0,91-180 days,Early Planner - Corporate/Contract,0.49908407903507707
Resort Hotel,1,2,2024,March,9,3,2,1,0.0,ITA,Direct,Transient-Party,126.42,0,1,0,Non Refund,7.0,113.0,5,1.0,0-7 days,Last-Minute Booker - Corporate/Contract,0.6991956352573085
Resort Hotel,0,56,2023,November,17,2,0,2,2.0,DEU,Online TA,Transient,74.46,0,1,0,Non Refund,17.0,100.0,2,4.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.5410834384801173
Resort Hotel,1,25,2024,December,19,1,0,3,1.0,IND,Complementary,Group,149.15,0,0,0,No Deposit,15.0,0.0,1,4.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.4175221182140334
City Hotel,0,23,2024,March,17,2,1,2,0.0,PRT,Corporate,Transient-Party,63.47,0,2,0,No Deposit,0.0,111.0,3,2.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.3027977866035783
Resort Hotel,0,69,2023,November,22,2,2,2,1.0,GBR,Online TA,Group,72.62,0,1,0,No Deposit,0.0,112.0,4,3.0,31-90 days,Early Planner - Leisure/Transient,0.382757686211759
City Hotel,0,113,2023,June,16,2,0,2,1.0,PRT,Corporate,Transient-Party,161.03,0,1,0,No Deposit,8.0,103.0,2,3.0,91-180 days,Early Planner - Corporate/Contract,0.3916042767128191
City Hotel,0,23,2023,June,12,3,2,3,2.0,IND,Complementary,Transient,186.23,1,0,0,Non Refund,14.0,117.0,5,5.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.44814004906626537
Resort Hotel,0,23,2024,June,3,0,1,1,0.0,PRT,Direct,Group,177.76,1,0,0,No Deposit,0.0,0.0,1,1.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.2805473632956117
City Hotel,0,63,2023,May,17,0,4,2,0.0,PRT,Groups,Transient,101.98,0,0,0,No Deposit,0.0,117.0,4,2.0,31-90 days,Early Planner - Leisure/Transient,0.4131362797428981
Resort Hotel,0,13,2023,February,22,1,2,3,1.0,PRT,Online TA,Group,119.71,0,1,0,No Deposit,8.0,111.0,3,4.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.3053560683278098
Resort Hotel,0,146,2024,July,16,4,4,2,0.0,ITA,Direct,Transient-Party,192.7,1,0,0,Refundable,20.0,0.0,8,2.0,91-180 days,Early Planner - Corporate/Contract,0.3140687984801262
Resort Hotel,1,63,2024,December,21,1,0,3,0.0,BRA,Online TA,Group,150.13,0,1,0,No Deposit,25.0,119.0,1,3.0,31-90 days,Early Planner - Leisure/Transient,0.4015549085330156
City Hotel,1,140,2023,March,28,2,1,4,0.0,PRT,Online TA,Contract,99.5,0,0,0,No Deposit,0.0,111.0,3,4.0,91-180 days,Early Planner - Corporate/Contract,0.6019310140274243
City Hotel,0,8,2024,April,2,1,1,2,0.0,FRA,Online TA,Transient,111.42,0,2,0,Non Refund,3.0,114.0,2,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.5111962290525138
City Hotel,1,9,2024,November,8,0,1,2,0.0,BRA,Offline TA/TO,Transient,109.73,1,0,0,Non Refund,3.0,106.0,1,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.6273291349318214
City Hotel,1,86,2023,April,12,3,2,1,0.0,PRT,Groups,Transient,109.34,0,0,0,No Deposit,10.0,113.0,5,1.0,31-90 days,Early Planner - Leisure/Transient,0.4253117186820877
City Hotel,1,188,2024,August,21,0,5,3,0.0,PRT,Groups,Transient,105.86,0,1,1,Non Refund,0.0,101.0,5,3.0,180+ days,Early Planner - Leisure/Transient,0.8728102080665684
Resort Hotel,0,65,2023,January,16,3,3,2,0.0,IND,Online TA,Transient,109.5,0,0,0,No Deposit,27.0,107.0,6,2.0,31-90 days,Early Planner - Leisure/Transient,0.4339087527661529
Resort Hotel,1,31,2023,September,8,1,0,2,1.0,BRA,Online TA,Transient-Party,115.5,0,0,0,No Deposit,25.0,0.0,1,3.0,31-90 days,Last-Minute Booker - Corporate/Contract,0.45541133951616075
Resort Hotel,0,69,2023,July,28,2,3,2,0.0,USA,Online TA,Transient,121.47,0,1,0,No Deposit,9.0,0.0,5,2.0,31-90 days,Early Planner - Leisure/Transient,0.3854846188338121
Resort Hotel,0,15,2024,December,16,1,1,1,0.0,IRL,Offline TA/TO,Transient-Party,111.99,0,0,0,No Deposit,28.0,109.0,2,1.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.41078892797515504
City Hotel,0,33,2024,November,20,0,2,2,0.0,FRA,Corporate,Transient-Party,91.38,0,2,0,No Deposit,0.0,106.0,2,2.0,31-90 days,Last-Minute Booker - Corporate/Contract,0.30059969598057934
Resort Hotel,1,161,2023,December,15,0,1,2,0.0,ITA,Online TA,Transient,203.52,0,0,0,No Deposit,9.0,116.0,1,2.0,91-180 days,Early Planner - Leisure/Transient,0.5422715937458802
Resort Hotel,1,33,2023,June,4,0,2,2,0.0,IND,Online TA,Transient,178.28,0,0,0,Non Refund,29.0,102.0,2,2.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.6864548122948105
City Hotel,1,157,2023,August,26,3,1,2,0.0,GBR,Direct,Transient,149.06,0,0,0,No Deposit,2.0,103.0,4,2.0,91-180 days,Early Planner - Leisure/Transient,0.6110461916108434
City Hotel,0,24,2024,November,15,2,3,2,0.0,FRA,Online TA,Transient,103.46,0,0,0,Non Refund,27.0,107.0,5,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.6636632100081743
Resort Hotel,1,85,2023,May,4,0,2,2,0.0,IND,Online TA,Transient-Party,173.81,0,0,0,No Deposit,19.0,109.0,2,2.0,31-90 days,Early Planner - Corporate/Contract,0.5070981935831819
City Hotel,0,180,2024,June,11,1,1,2,0.0,IRL,Online TA,Transient,151.54,1,1,0,No Deposit,16.0,0.0,2,2.0,91-180 days,Early Planner - Leisure/Transient,0.48403892170035334
